wavelength,reflectance
320,36.2
325,36.8
330,37.5
335,38.4
340,39.2
345,40.1
350,41.0
355,41.9
360,42.7
365,43.5
370,44.1
375,44.6
380,45.0
385,45.2
390,45.3
395,45.2
400,45.0
405,44.6
410,44.1
415,43.5
420,42.8
425,42.0
430,41.1
435,40.1
440,39.1
445,38.0
450,37.2
455,36.4
460,35.7
465,35.3
470,35.0
475,34.9
480,35.0
485,35.3
490,35.8
495,36.5
500,37.4
505,38.4
510,39.5
515,40.6
520,41.6
525,42.5
530,43.1
535,43.5
540,43.6
545,43.5
550,43.2
555,42.7
560,42.0
565,41.2
570,40.2
575,39.2
580,38.1
585,37.1
590,36.1
595,35.2
600,34.5
605,34.0
610,33.7
615,33.6
620,33.7
625,33.9
630,34.3
635,34.8
640,35.4
645,36.1
650,36.9
655,37.7
660,38.5
665,39.2
670,39.8
675,40.2
680,40.5
685,40.6
690,40.5
695,40.2
700,39.8
