wavelength,reflectance
400,0.20
410,0.25
420,0.30
430,0.35
440,0.40
450,0.45
460,0.50
470,0.55
480,0.60
490,0.65
500,0.70
510,0.75
520,0.80
530,0.85
540,0.90
550,0.95
560,1.00
570,0.95
580,0.90
590,0.85
600,0.80
610,0.75
620,0.70
630,0.65
640,0.60
650,0.55
660,0.50
670,0.45
680,0.40
690,0.35
700,0.30
710,0.35
720,0.40
730,0.45
740,0.50
750,0.55
760,0.60
770,0.65
780,0.70
790,0.75
800,0.80
810,0.85
820,0.90
830,0.95
840,1.00
850,0.95
860,0.90
870,0.85
880,0.80
890,0.75
900,0.70
910,0.65
920,0.60
930,0.55
940,0.50
950,0.45
960,0.40
970,0.35
980,0.30
990,0.25
1000,0.20
